key,label,gold_text,asr_text,wer
1_10004_u,0,"and of those few months, how long have you been a demented sex pervert?","and of those few months, how long have you been a demented sex purver?",0.07142857142857142
1_10009_u,0,"let the dead man talk. so, why do you think that?",let the dead man talk. so why do you think that? well...,0.18181818181818182
1_1001_u,0,"what else? sell it on ebay as ""slightly used.""","what else? stand down on ebay, it's slightly used.",0.6666666666666666
1_1003_u,1,"good idea, sit with her. hold her, comfort her. and if the moment feels right, see if you can cop a feel.","you are again. good idea. sit with her. hold her. comfort her. if the moment feels right, see if you can cop a feel.",0.2727272727272727
1_10190_u,0,"well, now that i've given up string theory, i'm struggling to find my next area of focus. so, in your professional opinion, which of these areas do you think is the most promising?","but now that i've given up string theory, i'm struggling to find my next area of focus. in your professional opinion, which of these areas do you think is the most promising?",0.06060606060606061
1_10462_u,1,"you know, if you're really serious about that, i hear there are some exciting opportunities in home care for the old and fat.","you know, if you're really serious about that, i hear there are some exciting opportunities in home care for the old and fat.",0.0
1_10495_u,1,"and if it turns out you don't... - you and i could live together. - you and... oh, sure.","and if it turns out you don't, you and i could live together. you went, oh sure. you won't.",0.3684210526315789
1_10496_u,1,"- you and... oh, sure. and while we're at it, why don't we get engaged, too? why don't we get a little house, start a family? enjoy our sunset years together? do you hear yourself, woman?!","you and i could live together. oh, sure. why don't we get engaged, too? why don't we get a little half, start a family, enjoy our sunset years together. did you hear yourself, woman?",0.3888888888888889
1_105_u,1,i'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,now i'm just inferring that this is a couch because the evidence suggests that coffee table is having a tiny garage sale.,0.15
1_10748_u,1,"there they go, fighting again. you'd never hear her talk that way to sauvignon blanc.",there they go fighting again. you never hear her talk that way to savignon blunk.,0.26666666666666666
1_10797_u,0,"i'm with him three years, nothing. she's with two minutes, and he's taking his pants off.","i'm with him three years nothing. she's with him two minutes, he's taking his pants off. i'm with him three years nothing.",0.5625
1_10810_u,0,i'll give you a plan right now. step one: open comic book store. step two: start rumor this comic book store gives you genital warts.,"i'll give you a plan right now. step 1, open comic book store. step 2, start rumor, this comic book store gives you general warts.",0.16
1_10829_u,1,"on the bright side, that oxford study was right. one friend down. i wonder who you're going to lose next.","on the bright side, that oxford study was right, one friend down. i wonder who you're going to lose next.",0.05
1_10849_u,0,that's how much buying a comic book store means to me.,that's how much buying a comic book store means to me.,0.0
1_10853_u,0,"okay, sit down. listen, emily, what happened between me and raj was a long time ago. it was,","okay, sit down. listen emily, what happened between me and raj was a long time ago. it was...",0.1111111111111111
1_10857_u,0,it's true-- you're both gorgeous. kind of says something about the man who could bed you both.,"it's true, you're both gorgeous. kind of says something about the man who could bed you both.",0.058823529411764705
1_10859_u,0,i don't need a reason-- it's my house.,i don't need a reason it's my house.,0.125
1_10890_u,1,"boy, when you met bernadette, the field of robotics really took a hit.","boy, when you made bernadette the field of robotics, really took a hit.",0.23076923076923078
1_10977_u,0,let's not talk about this in front of our friends.,it's not talk about this in front of our friends.,0.1
1_11006_u,1,maybe it's a good thing we came here. it's like a lesson in what not to do.,maybe it's a good thing we came here and it's like a lesson in what not to do.,0.11764705882352941
1_11021_u,1,"same as all of us, getting out of a car without underwear.",the same as all of us get out of a car without underwear.,0.25
1_11042_u,0,"because no one wants to see neil degrasse tyson in a wet t-shirt, bent over the hood of a porsche.",because no one wants to see neil degrasse tyson and a white t-shirt bent over the foot of a porsche!,0.25
1_11046_u,0,"wow, he really went where no man has gone before.","oh, you really went where no man has gone before.",0.2
1_11051_u,0,"well, he said it was a tribble. it could be a toupee, but either way, it's pretty cool.","well, he said it was a trouble. it could be a two-pay, but either way, it's pretty cool.",0.1111111111111111
1_11055_u,1,"ah, that's a good question. apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.","ah, that's a good question. apparently, someone was being awfully flirty while not wearing their engage-con ring, causing another someone to show up here thinking the first someone might be available.",0.06451612903225806
1_11098_u,1,"wow, you still have it? i just assumed it was balled up in the corner of a barn somewhere.","wow, you still have it? i just assumed it was bald up in the corner of a barn somewhere.",0.05263157894736842
1_11120_u,0,"next time i might be in a rush, it's good to have a few in the bank.","next time i might be in a rush, it's good to have a few in the bank.",0.0
1_11177_u,1,i'm listening to you snore. i'm wondering how i'll ever sleep without it.,i'm listening to you snore. i'm wondering how i'll ever sleep without it.,0.0
1_11201_u,0,"he probably got a new one. finish your breakfast. look, there's an entire section of my dashboard that doesn't have any syrup on it.","you probably got a new one. finish your breakfast. look, there's an entire section of my dashboard that doesn't have any syrup on it.",0.041666666666666664
1_11224_u,1,and here i am in the trap. you just keep talking. i'm gonna chew my leg off.,"and here i am in the trap. okay, you just keep talking. i'm gonna chew my leg off.",0.058823529411764705
1_11232_u,1,"and i love that i work and do all the cleaning, and you're okay with that.",and i love that i work and do all the cleaning and you're okay with that!,0.125
1_11236_u,0,"oh, you're hardly out of the woods, no. you still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.","about nothing. oh, you're hardly out of the woods. you still run the risk of infection, a blood clot, you've possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0.15151515151515152
1_11242_u,1,"i love that you take pride in your looks, even when i have to pee in the morning, and you're in there spending an hour on your hair.",i love that you take pride in your looks. even when i have to pee in the morning and you're in there spitting an hour on your hair.,0.10714285714285714
1_11243_u,1,i love that you're too good to pee in the kitchen sink.,i love that you're too good to pee in the kitchen sink.,0.0
1_11253_u,0,"so as they say, all good things must come to an end.","so as they say, all good things must come to an end. after only 232 episodes.",0.3333333333333333
1_11257_u,0,doesn't professor abbott's family want any of this stuff?,isn't professor abbott's family want any of this stuff? i don't think you had a family.,0.8888888888888888
1_11306_u,0,"i guess the sad truth is, not everyone will accomplish something great. some of us may just have to find meaning in the little moments that make up life.",i guess the sad truth is not everyone will accomplish something great. some of us may just have to find meaning in the little moments that make up life.,0.034482758620689655
